ano,mes,cobertura_esf
2008,1,26.18166666666667
2008,2,26.18166666666667
2008,3,26.18166666666667
2008,4,26.18166666666667
2008,5,26.18166666666667
2008,6,26.18166666666667
2008,7,26.18166666666667
2008,8,26.18166666666667
2008,9,26.18166666666667
2008,10,26.18166666666667
2008,11,26.18166666666667
2008,12,26.18166666666667
2009,1,26.5175
2009,2,26.5175
2009,3,26.5175
2009,4,26.5175
2009,5,26.5175
2009,6,26.5175
2009,7,26.5175
2009,8,26.5175
2009,9,26.5175
2009,10,26.5175
2009,11,26.5175
2009,12,26.5175
2010,1,27.459999999999997
2010,2,27.459999999999997
2010,3,27.459999999999997
2010,4,27.459999999999997
2010,5,27.459999999999997
2010,6,27.459999999999997
2010,7,27.459999999999997
2010,8,27.459999999999997
2010,9,27.459999999999997
2010,10,27.459999999999997
2010,11,27.459999999999997
2010,12,27.459999999999997
2011,1,28.694166666666664
2011,2,28.694166666666664
2011,3,28.694166666666664
2011,4,28.694166666666664
2011,5,28.694166666666664
2011,6,28.694166666666664
2011,7,28.694166666666664
2011,8,28.694166666666664
2011,9,28.694166666666664
2011,10,28.694166666666664
2011,11,28.694166666666664
2011,12,28.694166666666664
2012,1,30.307500000000005
2012,2,30.307500000000005
2012,3,30.307500000000005
2012,4,30.307500000000005
2012,5,30.307500000000005
2012,6,30.307500000000005
2012,7,30.307500000000005
2012,8,30.307500000000005
2012,9,30.307500000000005
2012,10,30.307500000000005
2012,11,30.307500000000005
2012,12,30.307500000000005
2013,1,30.926666666666673
2013,2,30.926666666666673
2013,3,30.926666666666673
2013,4,30.926666666666673
2013,5,30.926666666666673
2013,6,30.926666666666673
2013,7,30.926666666666673
2013,8,30.926666666666673
2013,9,30.926666666666673
2013,10,30.926666666666673
2013,11,30.926666666666673
2013,12,30.926666666666673
2014,1,33.99
2014,2,33.99
2014,3,33.99
2014,4,33.99
2014,5,33.99
2014,6,33.99
2014,7,33.99
2014,8,33.99
2014,9,33.99
2014,10,33.99
2014,11,33.99
2014,12,33.99
2015,1,37.29666666666667
2015,2,37.29666666666667
2015,3,37.29666666666667
2015,4,37.29666666666667
2015,5,37.29666666666667
2015,6,37.29666666666667
2015,7,37.29666666666667
2015,8,37.29666666666667
2015,9,37.29666666666667
2015,10,37.29666666666667
2015,11,37.29666666666667
2015,12,37.29666666666667
2016,1,38.93583333333334
2016,2,38.93583333333334
2016,3,38.93583333333334
2016,4,38.93583333333334
2016,5,38.93583333333334
2016,6,38.93583333333334
2016,7,38.93583333333334
2016,8,38.93583333333334
2016,9,38.93583333333334
2016,10,38.93583333333334
2016,11,38.93583333333334
2016,12,38.93583333333334
2017,1,38.43333333333333
2017,2,38.43333333333333
2017,3,38.43333333333333
2017,4,38.43333333333333
2017,5,38.43333333333333
2017,6,38.43333333333333
2017,7,38.43333333333333
2017,8,38.43333333333333
2017,9,38.43333333333333
2017,10,38.43333333333333
2017,11,38.43333333333333
2017,12,38.43333333333333
2018,1,39.84166666666666
2018,2,39.84166666666666
2018,3,39.84166666666666
2018,4,39.84166666666666
2018,5,39.84166666666666
2018,6,39.84166666666666
2018,7,39.84166666666666
2018,8,39.84166666666666
2018,9,39.84166666666666
2018,10,39.84166666666666
2018,11,39.84166666666666
2018,12,39.84166666666666
2019,1,39.854166666666664
2019,2,39.854166666666664
2019,3,39.854166666666664
2019,4,39.854166666666664
2019,5,39.854166666666664
2019,6,39.854166666666664
2019,7,39.854166666666664
2019,8,39.854166666666664
2019,9,39.854166666666664
2019,10,39.854166666666664
2019,11,39.854166666666664
2019,12,39.854166666666664
2020,1,39.31666666666667
2020,2,39.31666666666667
2020,3,39.31666666666667
2020,4,39.31666666666667
2020,5,39.31666666666667
2020,6,39.31666666666667
2020,7,39.31666666666667
2020,8,39.31666666666667
2020,9,39.31666666666667
2020,10,39.31666666666667
2020,11,39.31666666666667
2020,12,39.31666666666667
